Feature,Female Mean,Male Mean,T-Stat,P-Value
female,0.12143420015760441,0.01329198050509526,8.970118794865673,3.1604559659800163e-19
Dic,87.5798724389283,88.84200511987397,-6.972612114111731,3.1586967534435178e-12
male,0.27272606382978726,0.4888209520996406,-6.95127346314356,3.6779615930190495e-12
function,43.52692080378251,44.861019051838724,-6.033316228015167,1.6201520898829e-09
cause,0.4895429472025216,0.7626510116674051,-5.422517886810484,5.9122010651592e-08
BigWords,20.114473502758077,18.886143356471223,5.19820970955646,2.0219012233893293e-07
focusfuture,0.3079777383766745,0.4679909417614335,-4.869876994903819,1.1210277912113109e-06
Authentic,71.20619767954179,68.5882773802972,4.762881457381628,1.9275351870797325e-06
Linguistic,64.24611997635934,65.37003839905479,-4.674065488329002,2.9624279975274208e-06
det,21.846606087470445,22.679998523113277,-4.067427674477837,4.762459618681667e-05
verb,19.32608648542159,18.653911780633095,4.054468766159746,5.03419735042141e-05
need,0.22513593380614658,0.3319957662580613,-3.724021807793822,0.00019634908447729683
article,17.080518124507485,17.54786097572983,-3.5538126379497585,0.0003801201855143631
cogproc,3.719350866824271,4.1636095111504945,-3.5258868464074804,0.00042253263019772526
conj,0.14267237982663514,0.09852015950376607,3.3735622674007235,0.0007427410159668047
shehe,0.38401644996059886,0.49087234775759364,-3.265974481946434,0.00109179413150566
swear,0.04760983057525611,0.0,3.2329690047610633,0.0012270645311212333
insight,1.8176654846335696,2.1048633879781424,-3.149769543958447,0.0016351820314763387
AllPunc,1.656279550827423,1.417613351055974,3.145726959732665,0.0016579437406038496
certitude,0.084794621749409,0.16636095111504948,-2.948376515543735,0.0031964105019771437
discrep,0.3905560480693459,0.4785044060453897,-2.897118385112746,0.0037681219011503364
acquire,6.124287332545311,5.806113326441195,2.847913007806518,0.0044029044013714
tone_neg,2.168944050433412,2.505627430709398,-2.832359790814646,0.004622870635743704
focuspresent,6.831419424743894,6.52945945945946,2.7846638453633656,0.005360806146142147
Period,1.027303486997636,0.8517501107665041,2.764155986328671,0.005709602090284367
socrefs,8.239626182033097,8.582622950819673,-2.7482911422383105,0.005993324069317287
emotion,3.7569070133963747,4.182802146408703,-2.72287379074296,0.006474449165510367
adverb,0.7989588258471237,0.9230596169940433,-2.7165165976434675,0.006600105005136158
allnone,4.134021867612294,4.672692856791218,-2.688420215856404,0.007182030950211742
negate,4.487001083530339,5.02464136267415,-2.6748949761884147,0.007478264165214242
Tone,81.25820797171328,79.49004187344914,2.6029245104241494,0.009254000781013128
family,0.035473798266351456,0.015383744400137843,2.4518286486111847,0.014217946986729896
want,0.18536347517730495,0.23205631861369566,-2.4485663051687827,0.014346911119076699
friend,0.030454097714736013,0.05517845714567027,-2.4417968101205907,0.014619150380807033
time,2.0870498423955874,1.9263639048884948,2.4271809113221035,0.015220998193168587
adj,6.509295705279747,6.915351745187811,-2.3863009844499685,0.017023377199028966
emo_anger,0.95989804964539,1.1753389455028798,-2.3752912141717157,0.017539783388110162
emo_neg,1.4400531914893617,1.695117904790036,-2.360600850974072,0.018250089601096753
comm,3.6204137115839248,3.3894491212524,2.2754554777006004,0.02288381191482913
prep,11.019827620173363,11.304888002756856,-2.1361964335609174,0.03266936627118841
Affect,10.276919818754925,10.683951656574608,-1.9736320202190363,0.04843037127566354
